"IdentityName","UserRightsAssignment","FriendlyName","GroupPolicyControlled","ComputerName","IdentitySid"
"Everyone","SeNetworkLogonRight","Access this computer from the network","True","WS2016DC","*S-1-1-0"
"NT AUTHORITY\Authenticated Users","SeNetworkLogonRight","Access this computer from the network","True","WS2016DC","*S-1-5-11"
"BUILTIN\Administrators","SeNetworkLogonRight","Access this computer from the network","True","WS2016DC","*S-1-5-32-544"
"BUILTIN\Pre-Windows 2000 Compatible Access","SeNetworkLogonRight","Access this computer from the network","True","WS2016DC","*S-1-5-32-554"
"NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","SeNetworkLogonRight","Access this computer from the network","True","WS2016DC","*S-1-5-9"
"BUILTIN\Administrators","SeBackupPrivilege","Back up files and directories","True","WS2016DC","*S-1-5-32-544"
"Everyone","SeChangeNotifyPrivilege","Bypass traverse checking","True","WS2016DC","*S-1-1-0"
"NT AUTHORITY\Authenticated Users","SeChangeNotifyPrivilege","Bypass traverse checking","True","WS2016DC","*S-1-5-11"
"NT AUTHORITY\LOCAL SERVICE","SeChangeNotifyPrivilege","Bypass traverse checking","True","WS2016DC","*S-1-5-19"
"NT AUTHORITY\NETWORK SERVICE","SeChangeNotifyPrivilege","Bypass traverse checking","True","WS2016DC","*S-1-5-20"
"BUILTIN\Administrators","SeChangeNotifyPrivilege","Bypass traverse checking","True","WS2016DC","*S-1-5-32-544"
"BUILTIN\Pre-Windows 2000 Compatible Access","SeChangeNotifyPrivilege","Bypass traverse checking","True","WS2016DC","*S-1-5-32-554"
"NT AUTHORITY\LOCAL SERVICE","SeSystemtimePrivilege","Change the system time","True","WS2016DC","*S-1-5-19"
"BUILTIN\Administrators","SeSystemtimePrivilege","Change the system time","True","WS2016DC","*S-1-5-32-544"
"BUILTIN\Administrators","SeCreatePagefilePrivilege","Create a pagefile","True","WS2016DC","*S-1-5-32-544"
"BUILTIN\Administrators","SeDebugPrivilege","Debug programs","True","WS2016DC","*S-1-5-32-544"
"BUILTIN\Administrators","SeRemoteShutdownPrivilege","Force shutdown from a remote system","True","WS2016DC","*S-1-5-32-544"
"NT AUTHORITY\LOCAL SERVICE","SeAuditPrivilege","Generate security audits","True","WS2016DC","*S-1-5-19"
"NT AUTHORITY\NETWORK SERVICE","SeAuditPrivilege","Generate security audits","True","WS2016DC","*S-1-5-20"
"NT AUTHORITY\LOCAL SERVICE","SeIncreaseQuotaPrivilege","Adjust memory quotas for a process","True","WS2016DC","*S-1-5-19"
"NT AUTHORITY\NETWORK SERVICE","SeIncreaseQuotaPrivilege","Adjust memory quotas for a process","True","WS2016DC","*S-1-5-20"
"BUILTIN\Administrators","SeIncreaseQuotaPrivilege","Adjust memory quotas for a process","True","WS2016DC","*S-1-5-32-544"
"BUILTIN\Administrators","SeIncreaseBasePriorityPrivilege","Increase scheduling priority","True","WS2016DC","*S-1-5-32-544"
"BUILTIN\Administrators","SeLoadDriverPrivilege","Load and unload device drivers","True","WS2016DC","*S-1-5-32-544"
"BUILTIN\Administrators","SeBatchLogonRight","Log on as a batch job","True","WS2016DC","*S-1-5-32-544"
"NT SERVICE\ALL SERVICES","SeServiceLogonRight","Log on as a service","True","WS2016DC","*S-1-5-80-0"
"BUILTIN\Administrators","SeInteractiveLogonRight","Allow log on locally","True","WS2016DC","*S-1-5-32-544"
